Team,total_goals_per_match,half_time_goals_per_match,shots_per_match,shots_on_target_per_match,fouls_per_match,corners_per_match,yellows_per_match,reds_per_match
Arsenal,1.666666667,0.666666667,13.33333333,3.333333333,7.333333333,6,0.666666667,0
Aston Villa,1.666666667,0.666666667,7.333333333,4,13,2.333333333,1.666666667,0
Bournemouth,1,0.333333333,9.666666667,2.666666667,9.333333333,3.333333333,2.333333333,0
Brentford,1.333333333,0.666666667,10,4.333333333,8,2.333333333,1.333333333,0
Brighton & Hove Albion,1,0,15.66666667,6.333333333,10,7.666666667,1.333333333,0
Chelsea,0.333333333,0.333333333,13,3.666666667,12.33333333,6,2.333333333,0
Crystal Palace,0.333333333,0.333333333,13,3.666666667,12.33333333,6,2.333333333,0
Everton,0.333333333,0,11.66666667,4.666666667,12.33333333,4.333333333,2.666666667,0
Fulham,1.333333333,0.333333333,10.33333333,3.333333333,11.66666667,3.666666667,2.333333333,0
Leeds United,0.333333333,0,12.66666667,3.333333333,10.33333333,6.666666667,2.333333333,0
Leicester City,1.333333333,1,11.66666667,3.333333333,12.33333333,2.333333333,2.333333333,0
Liverpool,0.666666667,0,16.33333333,4.666666667,11.33333333,5,2.666666667,0
Manchester City,2.666666667,1.666666667,18.33333333,5.666666667,10,6.333333333,1.666666667,0
Manchester United,2,0.333333333,17.66666667,6.333333333,11,4.666666667,1.333333333,0
Newcastle United,0.333333333,0.333333333,15,5.333333333,8.666666667,7,2.333333333,0.333333333
Nottingham Forest,0.333333333,0,7.333333333,1.666666667,8,2.333333333,0.666666667,0
Southampton,0.666666667,0.666666667,11,3,16.33333333,3,4,0
Tottenham Hotspur,1.666666667,0.333333333,11.66666667,4.333333333,11.66666667,4.333333333,2,0
West Ham United,1.666666667,0.333333333,11.33333333,2.666666667,9,8,0.666666667,0
Wolverhampton Wanderers,1.333333333,1,8,3,13.33333333,2.333333333,1.333333333,0
